,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'iPhone'}),frozenset({'Wired Headphones'}),0.5,0.5,0.5,1.0,2.0,0.25,inf,1.0
1,frozenset({'Wired Headphones'}),frozenset({'iPhone'}),0.5,0.5,0.5,1.0,2.0,0.25,inf,1.0
